"post_title,post_name,post_status,sku,downloadable,virtual,visibility,stock,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,tax:product_type,tax:product_cat,tax:product_tag,tax:product_brand,post_image"
"HHPC CORE I7 14700KF | 64GB | NVIDIA RTX 5070 12G,hhpc-core-i7-14700kf-64gb-rtx-5070,publish,HHPC-I7-5070,no,no,visible,10,instock,no,no,45580000,44700000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=PC+Core+i7"""
"HHPC RYZEN 7 9800X3D | 32GB DDR5 | RX 7800 XT 16G,hhpc-ryzen-7-9800x3d-ddr5-rx7800,publish,HHPC-R7-7800XT,no,no,visible,8,instock,no,no,42930000,42100000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=PC+Ryzen+7"""
"HHPC AI PC RYZEN THREADRIPPER 9970X | 256GB | RTX 5090 32G,hhpc-ai-pc-ryzen-9970x-256gb-rtx5090,publish,HHPC-AI-9970X,no,no,visible,5,instock,no,no,120000000,99832000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=AI+PC+Ryzen"""
"HHPC ULTRA 7 265K | 32GB DDR5 | RTX 5060 TI 16G,hhpc-ultra7-265k-32gb-rtx5060ti,publish,HHPC-U7-5060TI,no,no,visible,12,instock,no,no,48000000,43500000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Ultra+7+265K"""
"HH SERVER DUAL XEON PLATINUM 8171M | 128GB | RTX 3060 12GB,hh-server-dual-xeon-8171m-128gb-rtx3060,publish,HH-SRV-8171M,no,no,visible,4,instock,no,no,48000000,44540000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Server+Xeon"""
"HH SERVER DUAL XEON 2696 V4 | 128GB | RTX 3060 12G,hh-server-dual-xeon-2696v4-128gb-rtx3060,publish,HH-SRV-2696V4,no,no,visible,6,instock,no,no,35000000,31390000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Server+2696"""
"HH SERVER DUAL XEON E5 2680 V4 | 64GB | 500GB NVME,hh-server-dual-xeon-e5-2680v4-64gb-nvme,publish,HH-SRV-E5-2680,no,no,visible,9,instock,no,no,20000000,15050000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Server+E5"""
"HHPC WORKSTATION XEON W9-3495X | 128GB | RTX 5080 16G,hhpc-workstation-xeon-w9-3495x-128gb-rtx5080,publish,HHPC-WK-3495X,no,no,visible,3,instock,no,no,85000000,78500000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Workstation"""
"HHPC RENDER MASTER RYZEN 9 7950X | 64GB | RTX 5070 12G,hhpc-render-ryzen9-7950x-64gb-rtx5070,publish,HHPC-RND-7950X,no,no,visible,7,instock,no,no,52000000,48900000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Ryzen+9+7950X"""
"HHPC 3D STUDIO CORE I9 14900K | 128GB | RTX 5090 32G,hhpc-3d-corei9-14900k-128gb-rtx5090,publish,HHPC-3D-I9,no,no,visible,2,instock,no,no,110000000,102500000,,,,,taxable,,simple,""PC Chuyên Dụng"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=I9+3D+Studio"""
"HHPC GAMING CORE I5 12400F | 16GB | RTX 5060 8G,hhpc-gaming-i5-12400f-rtx5060,publish,HHPC-I5-5060,no,no,visible,12,instock,no,no,23000000,21950000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gaming+I5"""
"HHPC GAMING CORE I5 14600K | 16GB | RTX 5070 TI 16G,hhpc-gaming-i5-14600k-rtx5070ti,publish,HHPC-I5-5070TI,no,no,visible,8,instock,no,no,45000000,41050000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gaming+14600K"""
